Customer_ID,Credit_Score,Income,Debt,Loan_Amount,Risk_Score
CUST0001,767,103040,8102,18088,0.1775211104656278
CUST0002,773,115002,34209,29084,0.33593800012955666
CUST0003,323,135591,38462,35808,0.009956000994269854
CUST0004,645,60048,16173,32425,0.6298985438026148
CUST0005,566,70330,24906,25212,0.7569752791414842
CUST0006,725,102612,27187,27338,0.8072744357891641
CUST0007,704,149220,34357,27121,0.7492290259444228
CUST0008,464,55309,49436,29744,0.2200432744290085
CUST0009,781,115063,30067,23298,0.4668981812659341
CUST0010,751,52517,28533,37603,0.7075938969186092
CUST0011,724,137596,21971,47623,0.7459707657484177
CUST0012,540,108963,1303,42766,0.9139310163980126
CUST0013,800,43446,36603,5106,0.2866278964114214
CUST0014,460,99549,30140,25454,0.0904523700262323
CUST0015,760,84036,39839,10517,0.9525773086646644
CUST0016,449,85337,22326,27656,0.17133637072830588
CUST0017,476,118558,12898,26658,0.5890249680075208
CUST0018,421,132739,36129,36382,0.5149362948335477
CUST0019,721,139848,22208,37008,0.02733407381367914
CUST0020,654,72740,27831,16766,0.11566472528025462
CUST0021,665,49392,45250,33807,0.09421628989013364
CUST0022,762,56101,26155,38597,0.779706693526198
CUST0023,417,118395,43522,27177,0.3596505604059087
CUST0024,667,44955,38477,42578,0.9693089854810364
CUST0025,497,61875,16958,34927,0.3197972703843909
CUST0026,783,48063,8064,23411,0.9612167368332373
CUST0027,765,43667,29449,23113,0.5626237866214119
CUST0028,463,51510,17525,8173,0.4901745315780528
CUST0029,632,92725,5015,19730,0.4888329679186739
CUST0030,771,144424,1153,20641,0.11034367018441404
CUST0031,630,31096,48914,39363,0.2524996649463781
CUST0032,651,35921,25627,45122,0.6251330495582016
CUST0033,518,87273,42297,31591,0.6681968450037415
CUST0034,689,49094,41947,7072,0.1871904921602512
CUST0035,690,103956,37072,46332,0.5664344621302618
CUST0036,327,140241,42399,34686,0.7209471469960275
CUST0037,638,59845,14907,44577,0.5855902607640557
CUST0038,668,129475,34877,28292,0.9461291016593916
CUST0039,691,122628,39210,29614,0.77404165286875
CUST0040,683,71878,49668,48486,0.9085762280003297
CUST0041,460,68771,11052,36576,0.8092028897452085
CUST0042,321,101586,8331,6100,0.36797360673434265
CUST0043,659,146286,18928,44853,0.9872550483354704
CUST0044,612,130193,34231,43632,0.13616512687088012
CUST0045,456,82941,9310,35708,0.9844364773579006
CUST0046,309,131768,28710,28010,0.25287463974533164
CUST0047,576,143903,7369,36137,0.29937579030437433
CUST0048,398,69896,8333,32552,0.9742440452022526
CUST0049,773,50983,28879,43887,0.13880399515249442
CUST0050,695,61308,21651,43963,0.1803049208302191
CUST0051,782,45159,28143,40122,0.19174596497911567
CUST0052,806,32351,31900,5430,0.2988000833375578
CUST0053,669,81045,18063,41074,0.2967412955032577
CUST0054,410,146600,18716,28937,0.19386675000065412
CUST0055,633,67492,44065,39999,0.5594242497559592
CUST0056,712,129071,21081,27211,0.49301220045433136
CUST0057,445,79392,33871,8925,0.39893324486735926
CUST0058,461,54704,36188,12292,0.31311674143582824
CUST0059,541,113532,38218,41750,0.9867834687898506
CUST0060,814,148607,5176,13536,0.9791863928518383
CUST0061,325,149682,27638,16148,0.033321517362549624
CUST0062,428,55856,34834,39337,0.1193012895101544
CUST0063,590,136628,13089,19983,0.706812637642728
CUST0064,581,119874,44520,5218,0.3643405379343648
CUST0065,631,111142,42222,6465,0.6121841419128635
CUST0066,724,68356,20712,35835,0.4150708276883449
CUST0067,403,79439,7950,12663,0.8945690479046783
CUST0068,756,69979,25248,44454,0.7179130714343767
CUST0069,502,32187,42068,30099,0.11253821159713995
CUST0070,793,58383,40807,19569,0.7987844267306701
CUST0071,784,90650,36251,15997,0.8241397722505885
CUST0072,816,83431,16643,41023,0.5701329015104053
CUST0073,327,48110,9032,23997,0.09927241955481036
CUST0074,724,68715,27514,11579,0.6933439150984142
CUST0075,722,128095,15500,8069,0.8599499543961578
CUST0076,310,86377,44281,41695,0.0941448575211783
CUST0077,594,112596,31783,30276,0.20901094396317332
CUST0078,633,134713,40896,44681,0.24215073982509183
CUST0079,797,78123,41521,34875,0.9659355302245338
CUST0080,784,112112,22673,32478,0.4113844568193312
CUST0081,736,60614,37289,38969,0.00833229271789604
CUST0082,733,45622,30683,40429,0.5658537245649762
CUST0083,843,44466,12400,36625,0.14236836313339363
CUST0084,463,32716,30979,38707,0.8120453533800627
CUST0085,817,121059,42616,27472,0.07946698534977237
CUST0086,846,49513,30883,31844,0.14023039512640556
CUST0087,310,119731,37963,32122,0.40280630784310967
CUST0088,382,145909,34060,40008,0.7305886534552544
CUST0089,410,97143,23150,48336,0.22389951218472992
CUST0090,415,110732,43102,20102,0.7356136534764754
CUST0091,506,34749,44687,33077,0.9618315920803014
CUST0092,593,119706,12770,32930,0.5016335833870587
CUST0093,756,129153,39456,32843,0.8628043757926165
CUST0094,628,105891,42147,20181,0.84811897166459
CUST0095,544,59265,32489,24603,0.8594274197331518
CUST0096,725,98576,24831,42196,0.28728711240538396
CUST0097,322,44172,35041,18387,0.24570686535069153
CUST0098,689,80570,34955,20611,0.7981754973734131
CUST0099,323,109164,10674,44736,0.0295935929019856
CUST0100,642,99805,20100,17844,0.5036136799971784
